url,path,content_type,status
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/sections/07_section_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/restricted/psets/pset4/pset4_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1214/handouts/latex/latex_cheat.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/Random_Variable_Handout.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/distributions.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes2.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes3.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes5.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes6.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes7.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes8.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/practice/109asp22notes9.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/restricted/final_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/lectures/21_naive.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/sections/07_section.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/lectures/22_lr_dl.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/restricted/psets/pset6/pset6_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/lectures/01_introduction.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/lectures/02_03_combinatorics.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/restricted/psets/pset1/pset1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/lectures/04_probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/sections/01_section.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/sections/01_section_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/lectures/05_cond_probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/restricted/psets/pset2/pset2.pdf,,,listed
