building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
330981,,,17,130,1930,
452933,,,22,126,1929,
815887,WELLS STREET TOWER,,34,,2003,
857450,,,10,,1929,
814570,CHICAGO BUILDING,,14,,1904,
340206,ONE SUPERIOR PLACE,,52,,1999,
167503,,,18,,1972,
320848,,,24,,1958,
814894,,,14,,1892,
825154,,,10,,1893,
813513,THE MARRIOT HOTEL,,19,221,1956,4400
310518,1410 NORTH STATE PARKWAY,,27,50,1891,
360610,BROOKS BLDG,,12,,1910,
813521,DOUBLE TREE HOTEL,,29,,1990,
374888,,,13,121,1971,
836580,,,23,,2005,
51824,EDGEWATER MEDICAL CENTER,NURSES HOME,10,,1969,
112125,,,12,,1920,
356168,MADISON PLAZA,HYATT OFFICES,44,,1982,
364929,,,12,,1949,
815197,,,13,,1949,
831780,,,26,227,1974,
308684,1440 N LAKE SHORE DR.,,36,160,1967,
56889,,,20,285,1931,12500
226991,,,14,216,1953,
351864,,,27,162,1888,
563610,,,10,,1949,
344226,HOLIDAY INN - CHICAGO CITY CENTRE,,27,,1976,
350135,EQUITABLE BUILDING,401 N MICHIGAN AVENUE,36,,1965,846800
470897,,,17,68,1928,
135827,SHERWAY TOWER,,19,4,1979,
875086,,,19,34,1931,
858579,,,16,86,1967,
834545,,,27,,2005,
545543,,,13,193,1967,
853753,,,10,117,1925,
324079,,,21,247,1937,
871017,,,20,233,,
874101,,,10,150,1929,
874105,,,20,200,1931,
813319,MUSEUM PARK TOWER 1,,20,,2002,
343478,,,18,,1988,129200
333261,,,26,126,1969,
344505,625 NORTH MICHIGAN,,27,,1970,
360585,TRANSUNION BUILDING,111 WEST JACKSON BOULEVARD BUILDING,24,,1961,
358356,,,12,,1927,
357973,USG BUILDING,,35,,1992,
365095,BLACKSTONE HOTEL,,21,95,1910,
456875,ALGONQUIN APARTMENTS 6,,14,70,1953,
813620,777 NORTH MICHIGAN,,38,330,1964,56200
813462,219 EAST LAKE SHORE DRIVE,,12,44,1922,
815889,GRAND PLAZA I,,57,,2003,
403381,OXFORD MALL,,25,,1970,
814185,,,15,,1989,148000
814824,FISHER BUILDING,,20,,1906,
882803,,,38,465,1974,
350946,ONE IBM PLAZA,,52,,1973,
814680,EDISON BUILDING,,20,,1907,573500
354471,RANDOLPH-WELLS BUILDING,,23,,1928,401300
172376,3550 N LAKE SHORE DRIVE I & II,,27,728,1961,
815196,1540 NORTH STATE PARKWAY,,16,64,1959,
357561,CITIGROUP CENTER,,42,,1991,
820540,One South Dearborn,,39,,2005,
21639,GRANADA CENTRE,LOYOLA UNIVERSITY,17,166,1991,40000
358297,BANK OF AMERICA,FIELD BUILDING,45,,1934,
397515,PRAIRIE SHORES 1,,21,342,1961,
567831,7000 SOUTH  SHORE DRIVE,,16,128,1926,
305647,PARK ASTOR,,27,64,1968,
329069,233 EAST WALTON,,14,14,1922,
48123,,,20,171,1968,
814612,NORTHERN TRUST BANK ANNEX,,14,,1965,
204201,BEL HARBOUR,,29,204,1967,
288655,HEMINGWAY HOUSE,,29,280,1974,12100
368188,Jesse Brown VA Medical Center,WEST SIDE MEDICAL CENTER,12,,1952,
885681,WRIGLEY BUILDING NORTH ADDITION,,18,,,
234600,COMMONWEALTH PROMENADE E,,27,,1955,
815571,,,17,,1908,104600
318818,1212 NORTH LAKE SHORE DRIVE,,36,180,1969,
824754,HYATT CENTER,,48,,2005,1700000
428482,WILLA RAWLS MANOR,,11,,1981,
42099,PETERSON PLAZA,,11,101,1985,
356208,PRUDENTIAL SECURITIES,ONE NORTH FRANKLIN,36,,1990,716900
322678,1110 NORTH LAKE SHORE DRIVE,,40,74,1970,
418355,LAWLESS GARDENS 2,,24,,1968,
356872,PARKVIEW SENIOR APARTMENTS,CHICAGO HOUSING AUTHORITY,22,181,1962,
814677,CITADEL CENTER,BANK ONE CORPORATE CENTER,39,,2003,
814892,MORTON BUILDING,,12,,1896,
427596,PAUL G STEWART APARTMENTS 2,,28,170,1973,
367994,UNIVERSITY OF ILLINOIS CHICAGO MEDICAL CENTER,UIC CLINICAL SCIENCES BUILDING,14,,1953,
456548,THE CHIPPEWA,,14,70,1951,
426785,,,13,,1962,
814621,CHAMPLAIN BUILDING,SCHOOL OF THE ART INSTITUTE OF CHICAGO,13,,1902,
351057,HOUSE OF BLUES HOTEL ON DEARBORN,CRUNCH GYM ON N STATE,13,,1962,
483313,WINDERMERE HOUSE,,13,,1923,328200
354460,CADILLAC PALACE THEATRE,,22,,1926,
232168,SHERIDAN SURF,,11,139,1924,
814774,GIBBONS BUILDING,,16,,1912,59100
460462,CORNELL VILLAGE,,27,144,1968,
50957,HOLLYWOOD HOUSE,,12,198,1969,
339886,OLSON PAVILION/MCGAW PAVILION/HEALTH SCIENCES BLDG,NORTHWESTERN UNIVERSITY,10,,1979,
165975,THE NEW YORK,,49,,1986,
455833,ALGONQUIN APARTMENTS 4,,14,70,1953,
285069,,,11,105,1929,8000
814813,,,10,,1901,256500
813880,,,18,,1985,173300
814809,,,10,,1926,150900
815036,,,10,,1896,115600
883626,THE REGATTA,,44,,2007,
273108,,,11,40,1930,
38000,SHERIDAN TOWERS,,21,60,1952,
185439,HAWTHORNE HOUSE,,42,458,1966,
342115,2 EAST ERIE,,39,232,2002,
352770,203 NORTH WABASH,,25,,1928,
351639,ONE ILLINOIS CENTER,HOULIHANS,30,,1970,3750000
326851,DRAKE HOTEL,,13,,1920,
815096,ADA BUILDING,AMERICAN DENTAL ASSOCIATION,23,,1965,400800
822751,STRAUS BUILDING,,37,,1924,
821243,STATE OF IL OFFICES,,10,,1996,
208181,3180 N LAKE SHORE DRIVE,,23,,1963,
837922,THE BARRY,,15,64,1925,
404590,PRAIRIE SHORES 5,,21,342,1960,
885703,REGENTS PARK SOUTH,,37,,1972,
354383,MACYS,MARSHALL FIELDS,13,,1914,
814660,QUAKER PLAZA,,18,,2002,
319886,1212 NORTH LASALLE,,27,,1987,
352489,,,50,,1990,1206400
359055,THE EDGE LOFTS AND TOWER,,21,,2004,
815104,"3600 N LAKE SHORE DRIVE, I & II",,28,640,1959,
223659,THE HALLMARK,,38,340,1990,
153739,,,19,,1969,
24869,WRIGHT (BVM RESIDENCE) HALL,LOYOLA UNIVERSITY,13,,1958,
117839,CLARENDON COURTS,,26,,1979,
324865,MAPLE TOWER,,20,,2006,
813551,SOFITEL CHICAGO WATER TOWER,,33,,2001,
815145,THE CARAVEL,,29,,2003,
880172,155 NORTH WACKER,,11,,1954,
886000,353 NORTH CLARK,,46,,2008,
886022,SILVER TOWER,,39,,2007,
339641,REHABILITATION INSTITUTE OF CHICAGO,,19,,1973,
815076,LAKE SHORE CENTER,NORTHWESTERN UNIVERSITY,19,,1924,
354922,120 NORTH LASALLE,,39,,1990,547300
455820,ALGONQUIN APARTMENTS 5,,14,70,1952,
814483,CITY CENTER CLUB,,20,,1912,
365860,CHICAGO HILTON AND TOWERS,,29,,1927,
815893,2120 NORTH LINCOLN PARK WEST,,23,,2000,
834949,SKY55,,40,,2005,
360285,DEPAUL (UNIVERSITY) CENTER,,11,,1911,560800
218326,533 WEST BARRY,,17,,1966,20100
885702,REGENTS PARK NORTH,,36,,1974,
880228,,,47,225,2008,
880248,,,16,,1926,
350368,"STATE- KINZIE, WABASH SELF-PARK",,12,,1974,312000
100657,,,14,200,1935,
358735,CENTURY BUILDING,,16,,1915,
885698,,,27,,1969,
109471,NORTH EASTWOOD SHORES APARTMENTS,,16,231,1972,
353237,180 NORTH LASALLE,HEITMAN CENTER,39,,1972,
814971,ASTORIA TOWER,,20,292,,43600
815583,THE VENETIAN,,15,,2004,
