primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Julie Keeps Quiet,2024,100,"Drama,Sport",6.5,1649
Samurai Hustle Returns,2016,119,"Action,Comedy,History",5.5,146
Terrible Things,2010,90,"Action,Horror,Sci-Fi",4.2,36
Beings,1998,93,"Adventure,Family,Fantasy",4.2,595
F,1970,85,"Adult,Drama",5.0,13
Störst av allt,2005,97,"Crime,Drama",4.7,131
Facing Sudan,2007,90,"Documentary,History,War",7.6,12
Starship Farragut Homecoming,2021,50,Sci-Fi,6.8,11
Nancy,2018,85,"Drama,Mystery,Thriller",6.2,3913
Enteng manok: Tari ng Quiapo,1993,\N,Action,5.8,9
An Unforgettable Summer,1994,82,"Drama,Romance,War",7.3,1193
Carré de valets,1947,90,Comedy,5.6,32
L'âge mûr,2025,84,Drama,6.2,5
Rider,2023,\N,"Action,Drama",4.5,12
Pahunchey Huwe Log,1986,\N,Comedy,7.1,13
Pandemania,2021,63,Documentary,7.5,17
Aleppo. Notes from the Dark,2014,87,"Action,Biography,Documentary",7.6,70
A World of Difference,1989,96,Drama,3.9,114
Devilish Charm,2014,78,Thriller,3.2,200
Pak! Pak! My Dr. Kwak!,2011,115,"Comedy,Drama,Fantasy",6.2,71
Werewolves in Heat,2015,85,"Comedy,Horror",4.9,141
Torn from the Flag: A Film by Klaudia Kovacs,2007,97,Documentary,8.8,109
Jazbaat,1980,124,Drama,4.0,38
GTFO: Get the F&#% Out,2015,76,Documentary,4.4,503
Un Lago,2023,90,"Comedy,Drama,Romance",7.2,7
Get the Land Back,2024,70,Documentary,7.7,80
Top Model 2,1990,\N,"Drama,Mystery,Thriller",6.7,25
Merry Men 3: Nemesis,2023,131,"Action,Comedy",5.5,70
Crimean,2014,114,"Action,Drama,History",7.2,1478
The Wrong Man,1956,105,"Drama,Film-Noir",7.4,34725
Joy,2009,90,"Comedy,Drama",6.7,25
American Collectors,2009,57,Documentary,8.0,9
In All the Right Places,1986,66,Adult,6.9,13
"Katmandú, un espejo en el cielo",2011,104,"Drama,Romance",6.1,833
Here After,2020,121,"Comedy,Fantasy,Romance",5.1,1454
Parçala Behçet,1972,\N,"Action,Drama",6.1,16
Villa Touma,2014,85,"Drama,Romance",6.4,182
Jake Chapman's Accelerate or Die!,2023,60,Documentary,7.2,19
Funke,2018,89,Documentary,7.4,110
Coffin Full of Dollars,1971,83,"Action,Drama,Western",5.1,491
Black Butterflies,2022,120,Documentary,6.7,54
Lal Salaam,2024,150,"Action,Drama,Sport",4.4,1616
Shadows Unseen,1972,102,"Crime,Drama",5.8,133
Flyin' Dance,2000,91,"Drama,Romance",5.2,46
7:05,2009,89,"Drama,Romance",4.1,91
Tough Love,2015,89,"Biography,Drama",6.8,346
"Liebe, Tod und Teufel",1934,105,Drama,7.0,28
Last Paddle?,2020,73,Documentary,8.6,15
A Man Aside,2001,57,Documentary,7.6,78
Demand for Hate,2024,60,Documentary,8.0,10
Hold Me,2025,124,Drama,5.4,6
"Carbone 14, le film",1983,80,"Comedy,Documentary",5.3,16
Lionheart,1990,108,"Action,Crime,Drama",6.2,43212
Naanu Ladies,2021,96,Drama,8.0,14
Naya Kadam,1984,\N,"Drama,Family,Romance",6.4,80
Kryptonite,2015,80,"Action,Comedy,Drama",5.4,779
Kiki,1926,108,"Comedy,Drama",6.8,478
Termini Station,1989,108,Drama,6.7,110
Huey Long,1985,88,"Biography,Documentary",7.6,639
Madambi,2008,145,Drama,6.4,735
Robot Star Jjangga,1988,76,"Action,Adventure,Family",7.6,14
For Hire,1997,96,Thriller,5.4,356
Ei ruumiita makuuhuoneeseen,1959,105,"Comedy,Thriller",5.4,102
The Cowboy Counsellor,1932,62,"Drama,Western",6.7,93
Chronicle of an American Suburb,2002,57,\N,5.6,10
Dragonfly Squadron,1953,82,"Drama,War",5.4,186
"Amorth, the Exorcist",2017,53,Documentary,6.5,57
Mercedes,1993,108,Drama,5.9,201
Sesha Pratikshya,1985,\N,Drama,4.0,8
