primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Bohemian Rhapsody,2018,134,"Biography,Drama,Music",7.9,648234
Independence Day,1996,145,"Action,Adventure,Sci-Fi",7.0,648023
21 Jump Street,2012,109,"Action,Comedy,Crime",7.2,647725
Everything Everywhere All at Once,2022,139,"Action,Adventure,Comedy",7.7,645560
The Great Gatsby,2013,143,"Drama,Romance",7.2,644113
Spider-Man: Far from Home,2019,129,"Action,Adventure,Comedy",7.3,642077
Ex Machina,2014,108,"Drama,Sci-Fi,Thriller",7.7,640601
Shaun of the Dead,2004,99,"Comedy,Horror",7.8,640357
Zootopia,2016,108,"Action,Adventure,Animation",8.0,639000
Star Trek,2009,127,"Action,Adventure,Sci-Fi",7.9,638841
Despicable Me,2010,95,"Adventure,Animation,Comedy",7.6,634098
Looper,2012,119,"Action,Drama,Sci-Fi",7.4,629172
Avatar: The Way of Water,2022,192,"Action,Adventure,Animation",7.5,628457
Blood Diamond,2006,143,"Adventure,Drama,Thriller",8.0,626638
The Conjuring,2013,112,"Horror,Mystery,Thriller",7.5,624525
The Pursuit of Happyness,2006,117,"Biography,Drama",8.0,623410
Split,2016,117,"Horror,Thriller",7.3,623327
Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",7.8,622945
Minority Report,2002,145,"Action,Crime,Mystery",7.6,621531
Kick-Ass,2010,117,"Action,Comedy,Crime",7.6,621477
"Crazy, Stupid, Love.",2011,118,"Comedy,Drama,Romance",7.4,621209
Casino,1995,178,"Crime,Drama",8.2,621138
500 Days of Summer,2009,95,"Comedy,Drama,Romance",7.6,620286
The Hobbit: The Battle of the Five Armies,2014,144,"Adventure,Fantasy",7.4,619044
Troy,2004,163,"Action,Adventure",7.3,617635
"I, Robot",2004,115,"Action,Mystery,Sci-Fi",7.1,615769
The Bourne Identity,2002,119,"Action,Mystery,Thriller",7.8,615044
Watchmen,2009,162,"Action,Drama,Mystery",7.6,611783
X2: X-Men United,2003,134,"Action,Sci-Fi,Thriller",7.4,611208
Fury,2014,134,"Action,Drama,War",7.6,610562
"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy,Crime,Drama",8.1,609207
Pirates of the Caribbean: On Stranger Tides,2011,136,"Action,Adventure,Fantasy",6.6,608497
Venom,2018,112,"Action,Adventure,Sci-Fi",6.6,608154
Rise of the Planet of the Apes,2011,105,"Action,Animation,Drama",7.6,606386
Monty Python and the Holy Grail,1975,91,"Adventure,Comedy,Fantasy",8.1,603594
The Perks of Being a Wallflower,2012,103,Drama,7.9,598133
Mr. & Mrs. Smith,2005,120,"Action,Comedy,Crime",6.5,595170
The Amazing Spider-Man 2,2014,142,"Action,Adventure,Sci-Fi",6.6,592427
Oblivion,2013,124,"Action,Adventure,Sci-Fi",7.0,587145
Rain Man,1988,133,Drama,8.0,585252
Source Code,2011,93,"Action,Drama,Mystery",7.5,583552
Kung Fu Panda,2008,92,"Action,Adventure,Animation",7.6,581906
Love Actually,2003,135,"Comedy,Drama,Romance",7.5,581143
Lucy,2014,89,"Action,Sci-Fi,Thriller",6.4,580552
The Hangover Part II,2011,102,Comedy,6.5,579354
The Kashmir Files,2022,170,Drama,8.5,579131
The Matrix Revolutions,2003,129,"Action,Sci-Fi",6.7,576155
Ford v Ferrari,2019,152,"Action,Biography,Drama",8.1,574283
X-Men: The Last Stand,2006,104,"Action,Adventure,Sci-Fi",6.6,572841
Juno,2007,96,"Comedy,Drama",7.4,572767
Charlie and the Chocolate Factory,2005,115,"Adventure,Comedy,Family",6.7,572423
Deadpool & Wolverine,2024,128,"Action,Adventure,Comedy",7.5,572090
John Wick: Chapter 2,2017,122,"Action,Crime,Thriller",7.4,571772
American Sniper,2014,133,"Action,Biography,Drama",7.3,570924
Indiana Jones and the Temple of Doom,1984,118,"Action,Adventure",7.5,569080
Rear Window,1954,112,"Drama,Mystery,Thriller",8.4,569057
X-Men Origins: Wolverine,2009,107,"Action,Sci-Fi",6.5,568563
Hot Fuzz,2007,121,"Action,Comedy,Mystery",7.8,568397
Children of Men,2006,109,"Drama,Sci-Fi,Thriller",7.9,567141
Mission: Impossible - Ghost Protocol,2011,132,"Action,Adventure,Thriller",7.4,566175
Ice Age,2002,81,"Adventure,Animation,Comedy",7.5,566097
Edward Scissorhands,1990,105,"Drama,Fantasy,Romance",7.8,566071
The Incredible Hulk,2008,112,"Action,Sci-Fi",6.6,565859
The Maze Runner,2014,113,"Action,Mystery,Sci-Fi",6.8,564679
Rush,2013,123,"Biography,Drama,Sport",8.1,560428
Pacific Rim,2013,131,"Action,Adventure,Sci-Fi",6.9,559836
Little Miss Sunshine,2006,101,"Comedy,Drama",7.8,559663
Shrek 2,2004,93,"Adventure,Animation,Comedy",7.4,556885
The Butterfly Effect,2004,113,"Drama,Sci-Fi,Thriller",7.6,556173
The Devil Wears Prada,2006,109,"Comedy,Drama",7.0,555986
Top Gun,1986,109,"Action,Drama",7.0,554958
Big Hero 6,2014,102,"Action,Adventure,Animation",7.8,554826
It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.6,554461
Aquaman,2018,143,"Action,Adventure,Fantasy",6.8,554274
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy,War",8.3,550940
Dallas Buyers Club,2013,117,"Biography,Drama",7.9,549422
28 Days Later,2002,113,"Drama,Horror,Sci-Fi",7.5,549143
The Hunger Games: Mockingjay - Part 1,2014,123,"Action,Adventure,Sci-Fi",6.6,547688
Doctor Strange in the Multiverse of Madness,2022,126,"Action,Adventure,Fantasy",6.8,546866
Tangled,2010,100,"Adventure,Animation,Comedy",7.7,546777
The Fifth Element,1997,126,"Action,Adventure,Sci-Fi",7.6,546427
Star Wars: Episode IX - The Rise of Skywalker,2019,141,"Action,Adventure,Fantasy",6.3,544250
Ready Player One,2018,140,"Action,Adventure,Sci-Fi",7.4,543324
Fantastic Beasts and Where to Find Them,2016,132,"Adventure,Family,Fantasy",7.2,541367
The Big Short,2015,130,"Biography,Comedy,Drama",7.8,541026
Sicario,2015,121,"Action,Crime,Drama",7.7,540605
Hancock,2008,92,"Action,Comedy,Drama",6.4,540027
Cars,2006,116,"Adventure,Animation,Comedy",7.3,538280
Bullet Train,2022,127,"Action,Comedy,Thriller",7.3,538164
