sale_date,sale_price,class,class_description,property_group,city,zip_code,township_name,municipality,chicago_community_area,latitude,longitude,year_built,building_sqft,land_sqft,bedrooms,rooms,full_baths,half_baths,deed_type,is_multisale,num_parcels_sale,filter_same_sale_within_365,filter_less_than_10k,filter_deed_type
2025-01-02,300000,206,"Two or more story residence, over 62 years, 2,201 to 4,999 sq. ft.",Single-Family,CHICAGO,60630,Jefferson,CITY OF CHICAGO,JEFFERSON PARK,41.971,-87.779,1888,3228,7440,6,14,3,1,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,305000,212,"Two to six mixed-use apartments, any age, up to 20,000 sq. ft.",Multi-Family,CHICAGO,60630,Jefferson,CITY OF CHICAGO,PORTAGE PARK,41.962,-87.768,1963,7350,3125,6,14,4,4,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,305000,212,"Two to six mixed-use apartments, any age, up to 20,000 sq. ft.",Multi-Family,CHICAGO,60630,Jefferson,CITY OF CHICAGO,PORTAGE PARK,41.962,-87.768,1963,7350,3125,6,14,4,4,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,309000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,FRANKLIN PARK,60131,Leyden,VILLAGE OF FRANKLIN PARK,,41.925,-87.868,1959,1125,4662,3,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,312000,299,Condominium,Condominium,CHICAGO,60605,South Chicago,CITY OF CHICAGO,NEAR SOUTH SIDE,41.862,-87.620,,,,,,,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,312000,299,Condominium,Condominium,CHICAGO,60605,South Chicago,CITY OF CHICAGO,NEAR SOUTH SIDE,41.862,-87.620,,,,,,,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,315000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,WESTCHESTER,60154,Proviso,VILLAGE OF WESTCHESTER,,41.851,-87.885,1952,1021,7365,2,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,317500,299,Condominium,Condominium,CHICAGO,60647,Jefferson,CITY OF CHICAGO,LOGAN SQUARE,41.923,-87.712,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,320000,299,Condominium,Condominium,CHICAGO,60618,Jefferson,CITY OF CHICAGO,IRVING PARK,41.958,-87.706,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,320000,299,Condominium,Condominium,CHICAGO,60657,Lake View,CITY OF CHICAGO,LAKE VIEW,41.933,-87.647,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-02,320000,299,Condominium,Condominium,CHICAGO,60657,Lake View,CITY OF CHICAGO,LAKE VIEW,41.933,-87.647,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-02,320000,299,Condominium,Condominium,CHICAGO,60657,Lake View,CITY OF CHICAGO,LAKE VIEW,41.933,-87.647,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-02,321000,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",Single-Family,CHICAGO,60645,Rogers Park,CITY OF CHICAGO,WEST RIDGE,42.014,-87.698,1951,1574,3720,4,6,1,1,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,323000,299,Condominium,Condominium,CHICAGO,60613,Lake View,CITY OF CHICAGO,LAKE VIEW,41.953,-87.649,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,325000,299,Condominium,Condominium,CHICAGO,60657,Lake View,CITY OF CHICAGO,LAKE VIEW,41.933,-87.642,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,330000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,ROLLING MEADOWS,60008,Palatine,CITY OF ROLLING MEADOWS,,42.080,-88.028,1988,940,3064,2,6,2,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,330000,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60617,Hyde Park,CITY OF CHICAGO,CALUMET HEIGHTS,41.727,-87.580,1961,2544,5000,6,12,2,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,330000,299,Condominium,Condominium,BARTLETT,60103,Hanover,VILLAGE OF BARTLETT,,42.012,-88.231,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,335000,299,Condominium,Condominium,ELK GROVE VILLAGE,60007,Elk Grove,VILLAGE OF ELK GROVE VILLAGE,,41.994,-88.020,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,337000,204,"One story residence, any age, 1,801 sq. ft. and over",Single-Family,LANSING,60438,Bloom,VILLAGE OF LANSING,,41.555,-87.545,1938,2273,87120,3,8,2,1,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,340000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,NORRIDGE,60706,Norwood Park,VILLAGE OF NORRIDGE,,41.968,-87.821,1956,981,5166,3,5,1,0,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,340000,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.893,-87.617,,,,,,,,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,354500,299,Condominium,Condominium,CHICAGO,60661,West Chicago,CITY OF CHICAGO,NEAR WEST SIDE,41.884,-87.645,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,360000,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",Single-Family,CHICAGO,60655,Lake,CITY OF CHICAGO,MOUNT GREENWOOD,41.706,-87.703,1951,1463,4800,4,6,2,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,370000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60652,Lake,CITY OF CHICAGO,ASHBURN,41.740,-87.710,1953,1118,4195,3,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,375000,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.900,-87.620,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,390175,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,BUFFALO GROVE,60089,Wheeling,VILLAGE OF BUFFALO GROVE,,42.142,-87.974,1967,1415,7200,4,6,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,391000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,SCHAUMBURG,60193,Schaumburg,VILLAGE OF SCHAUMBURG,,42.007,-88.092,1971,950,8740,3,5,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,415000,234,"Split level residence, with a lower level below grade, all ages, all sizes",Single-Family,DES PLAINES,60016,Maine,CITY OF DES PLAINES,,42.063,-87.907,1963,1199,7015,2,6,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,430000,278,"Two or more story residence, up to 62 years, 2,001 to 3,800 sq. ft.",Single-Family,SOUTH HOLLAND,60473,Thornton,VILLAGE OF SOUTH HOLLAND,,41.615,-87.615,2004,3636,10868,4,10,3,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,432500,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60646,Jefferson,CITY OF CHICAGO,JEFFERSON PARK,41.983,-87.775,1954,1063,3720,2,4,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,435000,295,"Individually owned row houses or townhouses, up to 62 years",Single-Family,DES PLAINES,,Maine,CITY OF DES PLAINES,,42.049,-87.902,2020,1702,1420,3,6,2,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,439900,278,"Two or more story residence, up to 62 years, 2,001 to 3,800 sq. ft.",Single-Family,PALOS HEIGHTS,60463,Palos,CITY OF PALOS HEIGHTS,,41.671,-87.809,1971,2793,12090,5,9,2,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,440000,295,"Individually owned row houses or townhouses, up to 62 years",Single-Family,SKOKIE,60077,Niles,VILLAGE OF SKOKIE,,42.009,-87.760,1991,2407,1953,2,7,2,1,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,444900,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60644,West Chicago,CITY OF CHICAGO,AUSTIN,41.890,-87.752,1896,1999,3150,5,12,2,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
