OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
146,12191.0,51212191.0,Wood Dale,Wood Dale,Milw-W,12,1,19.1,D,0,A,1,5,,301 W. Wood Dale Ave.,Wood Dale,,,30,ks,1995-08-02,
147,12210.0,51212210.0,Itasca,Itasca,Milw-W,12,1,21.1,E,0,A,1,18,,Irving Park Rd. (Rt. 19) and Maple St.,Itasca,,,30,ks,1995-08-02,
148,12230.0,51212230.0,Medinah,Medinah,Milw-W,12,1,23.0,E,0,M,1,10,,"Medinah Rd., 1 block N. of Irving Park Rd.",,,,30,ks,1995-08-02,
149,12239.0,51212239.0,Roselle,Roselle,Milw-W,12,1,23.9,E,0,A,1,10,,540 Irving Park Rd.,Roselle,,,30,ks,1995-08-02,
150,12265.0,51212265.0,Schaumburg,Schaumburg,Milw-W,12,1,26.5,F,0,A,1,62,,2000 S. Springinsguth Rd.,Schaumburg,,,30,ks,1995-08-02,
151,12284.0,51212284.0,Hanover Park,Hanover Park,Milw-W,12,1,28.4,F,0,A,1,31,,Ontarioville Rd. and Route 20,Hanover Park,,,30,ks,1995-08-02,
152,12301.0,51212301.0,Bartlett,Bartlett,Milw-W,12,1,30.1,F,0,M,1,0,,Oak Ave. and Railroad Ave.,Bartlett,,,30,ks,1995-08-02,
153,12360.0,51212360.0,National St.,National Street,Milw-W,12,1,36.0,H,0,N,1,0,,85 National St.,Elgin,,,0,ks,1995-09-14,
154,12366.0,51212366.0,Elgin,Elgin,Milw-W,12,1,36.6,H,0,M,1,0,,109 W. Chicago St.,Elgin,,,0,ks,1995-08-02,
155,12398.0,51212398.0,Big Timber,Big Timber Road,Milw-W,12,1,39.8,H,0,M,1,0,,2025 Big Timber Rd.,Elgin,,,180,ks,1995-08-02,
156,13000.0,51213000.0,Ogilvie,Ogilvie Transportation Center,"UP-N, UP-NW, UP-W",13,1,0.0,A,0,A,0,0,,Madison St. and Canal St.,Chicago,,,180,ks,1995-08-02,
157,13029.0,51213029.0,Clybourn,Clybourn,"UP-N, UP-NW",13,1,2.9,A,1,N,1,0,,2001 N. Ashland Ave.,Chicago,,,0,ks,1995-08-02,
158,13070.0,51213070.0,Irving Park,Irving Park,UP-NW,13,1,7.0,B,0,M,1,0,,4000 N. Kedvale Ave.,Chicago,,,180,ks,1995-08-02,
159,13091.0,51213091.0,Jefferson Park,Jefferson Park,UP-NW,13,1,9.1,B,0,N,1,0,,4963 N. Milwaukee Ave.,Chicago,,,180,ks,1995-08-02,
160,13101.0,51213101.0,Gladstone Park,Gladstone Park,UP-NW,13,1,10.1,B,1,N,1,0,,5500 N. Austin Blvd.,Chicago,,,180,ks,1995-08-02,
161,13114.0,51213114.0,Norwood Park,Norwood Park,UP-NW,13,1,11.4,C,0,N,1,0,,6088 N. Northwest Highway,Chicago,,,180,ks,1995-08-02,
162,13126.0,51213126.0,Edison Park,Edison Park,UP-NW,13,1,12.6,C,0,N,1,0,,6700 N. Olmstead Ave.,Chicago,,,180,ks,1995-08-02,
163,13135.0,51213135.0,Park Ridge,Park Ridge,UP-NW,13,1,13.5,C,0,A,1,32,,100 S. Summit Ave.,Park Ridge,,,180,ks,1995-08-02,
164,13150.0,51213150.0,Dee Road,Dee Road,UP-NW,13,1,15.0,C,0,N,1,0,,881 N. Dee Road,Park Ridge,,,180,ks,1995-08-02,
165,13171.0,51213171.0,Des Plaines,Des Plaines,UP-NW,13,1,17.1,D,2,M,1,38,,1501 Miner St. (at Lee St.),Des Plaines,,,180,ks,1995-08-02,
166,13186.0,51213186.0,Cumberland,Cumberland,UP-NW,13,1,18.6,D,1,N,1,26,,475 N. Northwest Highway,Des Plaines,,,180,ks,1995-08-02,
167,13200.0,51213200.0,Mount Prospect,Mount Prospect,UP-NW,13,1,20.0,D,0,A,1,360,,13 E. Northwest Hwy. (at Main St.),Mount Prospect,,,180,ks,1995-08-02,
168,13228.0,51213228.0,Arlington Heights,Arlington Heights,UP-NW,13,1,22.8,E,0,M,1,96,,19 E. Northwest Highway,Arlington Heights,,,180,ks,1995-08-02,
169,13244.0,51213244.0,Arlington Park,Arlington Park,UP-NW,13,1,24.4,E,0,M,1,28,,2121 W. Northwest Highway,Arlington Heights,,,180,ks,1995-08-02,
170,13268.0,51213268.0,Palatine,Palatine,UP-NW,13,1,26.8,F,0,M,1,102,,225 W. Colfax (at Smith St.),Palatine,,,180,ks,1995-08-02,
171,13319.0,51213319.0,Barrington,Barrington,UP-NW,13,1,31.9,G,0,M,1,36,,201 S. Spring Street,Barrington,,,0,ks,1995-08-02,
172,13373.0,51213373.0,Fox River Grove,Fox River Grove,UP-NW,13,1,37.3,H,2,M,1,0,,4015 N. Northwest Highway,Fox River Grove,,,180,ks,1995-08-02,
173,13386.0,51213386.0,Cary,Cary,UP-NW,13,1,38.6,H,0,A,1,30,,100 W. Main St. (at Northwest Hwy.),Cary,,,180,ks,1995-08-02,
174,13432.0,51213432.0,Crystal Lake,Crystal Lake,UP-NW,13,1,43.2,I,0,A,1,42,,Woodstock Ave. and Grant St.,Crystal Lake,,,180,ks,1995-08-02,
175,13506.0,51213506.0,McHenry,McHenry,UP-NW,14,1,50.6,K,2,M,1,0,,4005 Main Street,McHenry,,,180,ks,1995-08-02,
176,13516.0,51213516.0,Woodstock,Woodstock,UP-NW,13,1,51.6,K,0,A,1,20,,90 Church Street,Woodstock,,,180,ks,1995-08-02,
177,13631.0,51213631.0,Harvard,Harvard,UP-NW,13,1,63.1,M,0,A,1,0,,1. N. Ayers Street,Harvard,,,180,ks,1995-08-02,
178,15064.0,51215064.0,Healy,Healy,Milw-N,15,1,6.4,B,0,A,1,0,,4014 W. Fullerton Ave.,Chicago,,,180,ks,1995-08-02,
179,15082.0,51215082.0,Grayland,Grayland,Milw-N,15,1,8.2,B,1,N,1,0,,3805 N. Kilbourn St.,Chicago,,,180,ks,1995-08-02,
180,15090.0,51215090.0,Mayfair,Mayfair,Milw-N,15,1,9.0,B,1,N,0,0,,4357 N. Cicero,Chicago,,,180,ks,1995-08-02,
181,15102.0,51215102.0,Forest Glen,Forest Glen,Milw-N,15,1,10.2,C,1,N,1,0,,5301 N. LeClaire,Chicago,,,0,ks,1995-08-02,
182,15116.0,51215116.0,Edgebrook,Edgebrook,Milw-N,15,1,11.6,C,2,M,1,0,,6402 N. Central,Chicago,,,0,ks,1995-08-02,
183,15143.0,51215143.0,Morton Grove,Morton Grove,Milw-N,15,1,14.3,C,0,A,1,0,,8501 Lehigh Rd.,Morton Grove,,,0,ks,1995-08-02,
184,15162.0,51215162.0,Golf,Golf,Milw-N,15,1,16.2,D,0,A,1,20,,195 N. Waukegan,Golf,,,0,ks,1995-08-02,
185,15174.0,51215174.0,Glenview,Glenview,Milw-N,15,1,17.4,D,0,A,1,56,,1021 Depot Ave.,Glenview,,,0,ks,1995-08-02,
186,15188.0,51215188.0,North Glenview,North Glenview,Milw-N,15,1,18.8,D,0,A,1,0,,3000 Old Willow Rd.,Glenview,,,0,aef,2001-04-17,
187,15211.0,51215211.0,Northbrook,Northbrook,Milw-N,15,1,21.1,E,2,M,1,47,,1340 Shermer Ave.,Northbrook,,,0,ks,1995-08-02,
188,15230.0,51215230.0,Lake Cook,Lake Cook Road,Milw-N,15,1,23.0,E,0,M,1,0,,601 Lake Cook Road,Deerfield,,,0,ks,1999-02-16,
189,15242.0,51215242.0,Deerfield,Deerfield,Milw-N,15,1,24.2,E,0,A,1,129,,"860 Deerfield Rd., 2 blks. W. of Rt. 43",Deerfield,,,180,ks,1995-08-02,
190,15280.0,51215280.0,Lake Forest,Lake Forest,Milw-N,15,1,28.4,F,0,A,1,0,,10205 N. Waukegan,Lake Forest,,,180,ks,1995-09-14,
191,15355.0,51215355.0,Libertyville,Libertyville,Milw-N,15,1,35.5,H,0,A,1,19,,200 W. Lake St. at Milwaukee Ave.,Libertyville,,,0,ks,1995-08-02,
192,15410.0,51215410.0,Grayslake,Grayslake,Milw-N,15,1,41.0,I,0,M,1,14,,Lake St. and St. Paul St.,Grayslake,,,180,ks,1995-08-02,
193,15440.0,51215440.0,Round Lake,Round Lake,Milw-N,15,1,44.0,I,0,M,1,10,,Route 134 and Cedar Lake Rd.,Round Lake,,,180,ks,1995-08-02,
194,15460.0,51215460.0,Long Lake,Long Lake,Milw-N,15,1,46.0,J,2,M,1,0,,Decorah Ave. and Route 134,,,,180,ks,1995-08-02,
195,15478.0,51215478.0,Ingleside,Ingleside,Milw-N,15,1,47.8,J,0,M,1,0,,Washington St. and Rollins Rd.,Fox Lake,,,180,ks,1995-08-02,
196,15495.0,51215495.0,Fox Lake,Fox Lake,Milw-N,15,1,49.5,J,0,A,1,20,,Nippersink Blvd. At Grand Ave.,Fox Lake,,,180,ks,1995-08-02,
197,16171.0,51216171.0,O'Hare,O'Hare Transfer,NCS,16,1,17.1,D,0,A,0,0,,,Rosemont,,,180,ks,1999-02-16,
198,16240.0,51216240.0,Prospect Heights,Prospect Heights,NCS,16,1,24.0,E,0,A,1,0,,55 South Wolf Road,Prospect Heights,,,180,ks,1999-02-16,
199,16272.0,51216272.0,Wheeling,Wheeling,NCS,16,1,27.2,F,0,A,1,0,,400 Town Street,Wheeling,,,180,ks,1999-02-16,
200,16295.0,51216295.0,Buffalo Grove,Buffalo Grove,NCS,16,1,29.5,F,0,A,1,0,,825 Commerce Ct.,Buffalo Grove,,,180,ks,1999-02-16,
201,16316.0,51216316.0,Prairie View,Prairie View,NCS,16,1,31.6,G,0,A,1,0,,16480 W. Hwy 22,Prairie View,,,180,ks,1999-02-16,
202,16330.0,51216330.0,Vernon Hills,Vernon Hills,NCS,16,1,33.0,G,0,A,1,0,,75 East Route 45,Vernon Hills,,,180,ks,1999-02-16,
203,16369.0,51216369.0,Mundelein,Mundelein,NCS,16,1,36.9,H,0,A,1,0,,205 North Archer Ave.,Mundelein,,,180,ks,1999-02-16,
204,16407.0,51216407.0,Prairie Crossing,Prairie Crossing (Libertyville),NCS,16,1,40.7,H,0,A,1,0,,2401 West Harris Road,,,,180,ks,1999-02-16,
205,16459.0,51216459.0,Round Lake Beach,Round Lake Beach,NCS,16,1,45.9,J,0,A,1,0,,680 East Mallard Creek Dr.,Round Lake Beach,,,0,ks,1999-02-16,
206,16482.0,51216482.0,Lake Villa,Lake Villa,NCS,16,1,48.2,J,0,A,1,0,,129 Railroad Ave.,Lake Villa,,,0,ks,1999-02-16,
207,16528.0,51216528.0,Antioch,Antioch,NCS,16,1,52.8,K,0,A,1,0,,305 Depot Street,Antioch,,,0,ks,1999-02-16,
208,17065.0,51217065.0,Ravenswood,Ravenswood,UP-N,17,1,6.5,B,1,N,1,0,,4800 N. Ravenswood Ave.,Chicago,,,0,ks,1995-08-02,
209,17094.0,51217094.0,Rogers Park,Rogers Park,UP-N,17,1,9.4,B,0,A,1,0,,7000 N. Ravenswood Ave.,Chicago,,,180,ks,1995-08-02,
210,17110.0,51217110.0,Main St.,Main Street (Evanston),UP-N,17,1,11.0,C,0,N,1,0,,600 Main St.,Evanston,,,180,ks,1995-08-02,
211,17120.0,51217120.0,Davis St.,Davis Street (Evanston),UP-N,17,1,12.0,C,0,N,0,0,,901 Davis St.,Evanston,,,180,ks,1995-08-02,
